#padname,center,side
V33_B_0,550.0,bottom
VZZ_B_0,675.0,bottom
VDD_B_0,800.0,bottom
VSS_B_0,880.0,bottom
V33_B_1,960.0,bottom
VZZ_B_1,1040.0,bottom
sdo_C_tkn_ex_i,1080.0,bottom
VDD_B_1,1120.0,bottom
sdo_C_sclk_ex_o,1160.0,bottom
VSS_B_1,1200.0,bottom
sdo_C_data_8_o,1240.0,bottom
V33_B_2,1280.0,bottom
sdo_C_data_7_o,1320.0,bottom
VZZ_B_2,1360.0,bottom
sdo_C_data_6_o,1400.0,bottom
VDD_B_2,1440.0,bottom
sdo_C_data_5_o,1480.0,bottom
VSS_B_2,1520.0,bottom
sdo_C_data_4_o,1560.0,bottom
V33_B_3,1600.0,bottom
sdo_C_data_3_o,1640.0,bottom
VZZ_B_3,1680.0,bottom
sdo_C_data_2_o,1720.0,bottom
VDD_B_3,1760.0,bottom
sdo_C_data_1_o,1800.0,bottom
VSS_B_3,1840.0,bottom
sdo_C_data_0_o,1880.0,bottom
V33_B_4,1920.0,bottom
sdo_C_ncmd_o,1960.0,bottom
VZZ_B_4,2000.0,bottom
sdo_C_token_i,2040.0,bottom
VDD_B_4,2080.0,bottom
JTAG_TMS_i,2120.0,bottom
VSS_B_4,2160.0,bottom
sdo_C_sclk_o,2200.0,bottom
VDD_B_5,2240.0,bottom
JTAG_TDI_i,2280.0,bottom
VSS_B_5,2320.0,bottom
BREAKER_20_B_0,2350.0,bottom
PLL_VDD_i,2380.0,bottom
V33_B_5,2420.0,bottom
PLL_VSS_i,2460.0,bottom
VZZ_B_5,2500.0,bottom
PLL_CLK_i,2540.0,bottom
VDD_B_6,2580.0,bottom
PLL_V33_i,2620.0,bottom
VSS_B_6,2660.0,bottom
PLL_VZZ_i,2700.0,bottom
BREAKER_20_B_1,2730.0,bottom
VDD_B_7,2760.0,bottom
JTAG_TCK_i,2800.0,bottom
VSS_B_7,2840.0,bottom
sdo_D_sclk_o,2880.0,bottom
V33_B_6,2920.0,bottom
JTAG_TRST_i,2960.0,bottom
VZZ_B_6,3000.0,bottom
sdo_D_token_i,3040.0,bottom
VDD_B_8,3080.0,bottom
sdo_D_ncmd_o,3120.0,bottom
VSS_B_8,3160.0,bottom
sdo_D_data_0_o,3200.0,bottom
V33_B_7,3240.0,bottom
sdo_D_data_1_o,3280.0,bottom
VZZ_B_7,3320.0,bottom
sdo_D_data_2_o,3360.0,bottom
VDD_B_9,3400.0,bottom
sdo_D_data_3_o,3440.0,bottom
VSS_B_9,3480.0,bottom
sdo_D_data_4_o,3520.0,bottom
V33_B_8,3560.0,bottom
sdo_D_data_5_o,3600.0,bottom
VZZ_B_8,3640.0,bottom
sdo_D_data_6_o,3680.0,bottom
VDD_B_10,3720.0,bottom
sdo_D_data_7_o,3760.0,bottom
VSS_B_10,3800.0,bottom
sdo_D_sclk_ex_o,3840.0,bottom
V33_B_9,3880.0,bottom
sdo_D_tkn_ex_i,3920.0,bottom
VZZ_B_9,3960.0,bottom
VDD_B_11,4040.0,bottom
VSS_B_11,4120.0,bottom
V33_B_10,4200.0,bottom
VZZ_B_10,4325.0,bottom
VDD_B_12,4450.0,bottom
VZZ_L_6,569.7,left
V33_L_6,694.7,left
VSS_L_16,819.7,left
VDD_L_15,899.7,left
VSS_L_15,979.7,left
VDD_L_14,1059.7,left
sdi_B_sclk_ex_i,1099.7,left
VZZ_L_5,1139.7,left
sdi_B_tkn_ex_o,1179.7,left
V33_L_5,1219.7,left
sdi_B_data_7_i,1259.7,left
VSS_L_14,1299.7,left
sdi_B_data_6_i,1339.7,left
VDD_L_13,1379.7,left
sdi_B_data_5_i,1419.7,left
VSS_L_13,1459.7,left
sdi_B_data_4_i,1499.7,left
VDD_L_12,1539.7,left
misc_L_7_i,1579.7,left
VSS_L_12,1619.7,left
sdi_B_sclk_i,1659.7,left
VDD_L_11,1699.7,left
misc_L_6_i,1739.7,left
VZZ_L_4,1779.7,left
sdi_B_token_o,1819.7,left
V33_L_4,1859.7,left
misc_L_5_i,1899.7,left
VSS_L_11,1939.7,left
sdi_B_ncmd_i,1979.7,left
VDD_L_10,2019.7,left
sdi_B_data_3_i,2059.7,left
VSS_L_10,2099.7,left
sdi_B_data_2_i,2139.7,left
VDD_L_9,2179.7,left
sdi_B_data_1_i,2219.7,left
VSS_L_9,2259.7,left
sdi_B_data_0_i,2299.7,left
VDD_L_8,2339.7,left
misc_L_4_i,2379.7,left
VSS_L_8,2419.7,left
clk_0_n_i,2459.7,left
VDD_L_7,2499.7,left
clk_0_p_i,2539.7,left
VZZ_L_3,2579.7,left
misc_L_3_o,2619.7,left
V33_L_3,2659.7,left
sdi_A_data_0_i,2699.7,left
VSS_L_7,2739.7,left
sdi_A_data_1_i,2779.7,left
VDD_L_6,2819.7,left
sdi_A_data_2_i,2859.7,left
VSS_L_6,2899.7,left
sdi_A_ncmd_i,2939.7,left
VDD_L_5,2979.7,left
misc_L_2_i,3019.7,left
VSS_L_5,3059.7,left
sdi_A_sclk_i,3099.7,left
VDD_L_4,3139.7,left
misc_L_1_i,3179.7,left
VZZ_L_2,3219.7,left
sdi_A_token_o,3259.7,left
V33_L_2,3299.7,left
misc_L_0_i,3339.7,left
VSS_L_4,3379.7,left
sdi_A_data_3_i,3419.7,left
VDD_L_3,3459.7,left
sdi_A_data_4_i,3499.7,left
VSS_L_3,3539.7,left
sdi_A_data_5_i,3579.7,left
VDD_L_2,3619.7,left
sdi_A_data_6_i,3659.7,left
VSS_L_2,3699.7,left
sdi_A_data_7_i,3739.7,left
VDD_L_1,3779.7,left
sdi_A_tkn_ex_o,3819.7,left
VZZ_L_1,3859.7,left
sdi_A_sclk_ex_i,3899.7,left
V33_L_1,3939.7,left
VSS_L_1,4019.7,left
VDD_L_0,4099.7,left
VZZ_L_0,4179.7,left
V33_L_0,4304.7,left
VSS_L_0,4429.7,left
VZZ_R_6,569.7,right
V33_R_6,694.7,right
VSS_R_16,819.7,right
VDD_R_15,899.7,right
VSS_R_15,979.7,right
VDD_R_14,1059.7,right
sdi_D_sclk_ex_i,1099.7,right
VZZ_R_5,1139.7,right
sdi_D_tkn_ex_o,1179.7,right
V33_R_5,1219.7,right
sdi_D_data_7_i,1259.7,right
VSS_R_14,1299.7,right
sdi_D_data_6_i,1339.7,right
VDD_R_13,1379.7,right
sdi_D_data_5_i,1419.7,right
VSS_R_13,1459.7,right
sdi_D_data_4_i,1499.7,right
VDD_R_12,1539.7,right
misc_R_7_i,1579.7,right
VSS_R_12,1619.7,right
sdi_D_sclk_i,1659.7,right
VDD_R_11,1699.7,right
misc_R_6_i,1739.7,right
VZZ_R_4,1779.7,right
sdi_D_token_o,1819.7,right
V33_R_4,1859.7,right
misc_R_5_i,1899.7,right
VSS_R_11,1939.7,right
sdi_D_ncmd_i,1979.7,right
VDD_R_10,2019.7,right
sdi_D_data_3_i,2059.7,right
VSS_R_10,2099.7,right
sdi_D_data_2_i,2139.7,right
VDD_R_9,2179.7,right
sdi_D_data_1_i,2219.7,right
VSS_R_9,2259.7,right
sdi_D_data_0_i,2299.7,right
VDD_R_8,2339.7,right
misc_R_4_i,2379.7,right
VSS_R_8,2419.7,right
clk_1_n_i,2459.7,right
VDD_R_7,2499.7,right
clk_1_p_i,2539.7,right
VZZ_R_3,2579.7,right
misc_R_3_o,2619.7,right
V33_R_3,2659.7,right
sdi_C_data_0_i,2699.7,right
VSS_R_7,2739.7,right
sdi_C_data_1_i,2779.7,right
VDD_R_6,2819.7,right
sdi_C_data_2_i,2859.7,right
VSS_R_6,2899.7,right
sdi_C_ncmd_i,2939.7,right
VDD_R_5,2979.7,right
misc_R_2_i,3019.7,right
VSS_R_5,3059.7,right
sdi_C_sclk_i,3099.7,right
VDD_R_4,3139.7,right
misc_R_1_i,3179.7,right
VZZ_R_2,3219.7,right
sdi_C_token_o,3259.7,right
V33_R_2,3299.7,right
misc_R_0_i,3339.7,right
VSS_R_4,3379.7,right
sdi_C_data_3_i,3419.7,right
VDD_R_3,3459.7,right
sdi_C_data_4_i,3499.7,right
VSS_R_3,3539.7,right
sdi_C_data_5_i,3579.7,right
VDD_R_2,3619.7,right
sdi_C_data_6_i,3659.7,right
VSS_R_2,3699.7,right
sdi_C_data_7_i,3739.7,right
VDD_R_1,3779.7,right
sdi_C_tkn_ex_o,3819.7,right
VZZ_R_1,3859.7,right
sdi_C_sclk_ex_i,3899.7,right
V33_R_1,3939.7,right
VSS_R_1,4019.7,right
VDD_R_0,4099.7,right
VZZ_R_0,4179.7,right
V33_R_0,4304.7,right
VSS_R_0,4429.7,right
V33_T_0,550.0,top
VZZ_T_0,675.0,top
VDD_T_0,800.0,top
VSS_T_0,880.0,top
V33_T_1,960.0,top
VZZ_T_1,1040.0,top
sdo_A_tkn_ex_i,1080.0,top
VDD_T_1,1120.0,top
sdo_A_sclk_ex_o,1160.0,top
VSS_T_1,1200.0,top
sdo_A_data_8_o,1240.0,top
V33_T_2,1280.0,top
sdo_A_data_7_o,1320.0,top
VZZ_T_2,1360.0,top
sdo_A_data_6_o,1400.0,top
VDD_T_2,1440.0,top
sdo_A_data_5_o,1480.0,top
VSS_T_2,1520.0,top
sdo_A_data_4_o,1560.0,top
V33_T_3,1600.0,top
sdo_A_data_3_o,1640.0,top
VZZ_T_3,1680.0,top
sdo_A_data_2_o,1720.0,top
VDD_T_3,1760.0,top
sdo_A_data_1_o,1800.0,top
VSS_T_3,1840.0,top
sdo_A_data_0_o,1880.0,top
V33_T_4,1920.0,top
sdo_A_ncmd_o,1960.0,top
VZZ_T_4,2000.0,top
sdo_A_token_i,2060.0,top
VDD_T_4,2100.0,top
misc_T_0_i,2140.0,top
VSS_T_4,2180.0,top
sdo_A_sclk_o,2220.0,top
VDD_T_5,2260.0,top
misc_T_1_i,2300.0,top
VSS_T_5,2340.0,top
SMA_out_p_o,2380.0,top
V33_T_5,2420.0,top
SMA_out_n_o,2460.0,top
VZZ_T_5,2500.0,top
reset_i,2540.0,top
VDD_T_6,2580.0,top
misc_T_2_i,2620.0,top
VSS_T_6,2660.0,top
SMA_in_p_i,2700.0,top
VDD_T_7,2740.0,top
SMA_in_n_i,2780.0,top
VSS_T_7,2820.0,top
sdo_B_sclk_o,2860.0,top
V33_T_6,2900.0,top
JTAG_TDO_o,2940.0,top
VZZ_T_6,2980.0,top
sdo_B_token_i,3020.0,top
VDD_T_8,3080.0,top
sdo_B_ncmd_o,3120.0,top
VSS_T_8,3160.0,top
sdo_B_data_0_o,3200.0,top
V33_T_7,3240.0,top
sdo_B_data_1_o,3280.0,top
VZZ_T_7,3320.0,top
sdo_B_data_2_o,3360.0,top
VDD_T_9,3400.0,top
sdo_B_data_3_o,3440.0,top
VSS_T_9,3480.0,top
sdo_B_data_4_o,3520.0,top
V33_T_8,3560.0,top
sdo_B_data_5_o,3600.0,top
VZZ_T_8,3640.0,top
sdo_B_data_6_o,3680.0,top
VDD_T_10,3720.0,top
sdo_B_data_7_o,3760.0,top
VSS_T_10,3800.0,top
sdo_B_sclk_ex_o,3840.0,top
V33_T_9,3880.0,top
sdo_B_tkn_ex_i,3920.0,top
VZZ_T_9,3960.0,top
VDD_T_11,4040.0,top
VSS_T_11,4120.0,top
V33_T_10,4200.0,top
VZZ_T_10,4325.0,top
VDD_T_12,4450.0,top
